Student_ID,GPA,Credit_Hours_Completed,Courses_Passed,Courses_Failed,Interest_Area,Attendance_Rate,Study_Hours_Per_Week,Previous_Semester_GPA,Track
STU0018,3.89,97,CS202|CS330|CS340|CS350|CS360|CS401|CS430|CS440|CS450|ENG101|ENG102|ENG210|ENG310|ENG320|MATH302,None,forensics,63.4,14.9,4.0,Cybersecurity
STU0019,3.69,73,CS201|CS210|CS310|CS320|CS340|CS410|CS420|CS430|ENG201|ENG210|ENG310|MATH201|MATH301|MATH310,None,DevOps,89.7,28.4,3.63,Software_Engineering
STU0020,2.47,79,CS202|CS301|CS302|CS410|CS430|CS440|CS450|MATH102|MATH201|MATH202|MATH301|MATH302|MATH310,CS420|ENG101|MATH320,robotics,83.8,19.1,2.5,AI
STU0021,2.94,131,CS101|CS202|CS220|CS301|CS302|CS330|CS401|CS410|CS450|ENG102|ENG201|ENG310|MATH201|MATH202|MATH301|MATH302,None,robotics,91.2,15.0,2.91,AI
STU0022,3.53,107,CS101|CS210|CS320|CS340|CS350|CS420|ENG210|ENG310|ENG320|MATH102|MATH201|MATH202,None,cloud,100.0,14.9,3.46,Cloud_Computing
STU0023,3.6,70,CS202|CS301|CS310|CS330|CS340|CS360|CS401|CS410|CS430|ENG210|ENG301|MATH201|MATH301|MATH302,None,NLP,88.0,16.6,3.43,AI
STU0024,3.33,133,CS102|CS220|CS301|CS302|CS310|CS340|CS360|CS450|ENG210|ENG310|ENG320|MATH201|MATH202,None,cryptography,81.0,8.8,3.22,Cybersecurity
STU0025,2.84,123,CS102|CS220|CS330|CS340|CS350|CS410|CS420|CS450|ENG210|ENG220|ENG301|ENG310,CS401,cloud,78.3,15.3,2.69,Cloud_Computing
STU0026,2.7,105,CS101|CS210|CS220|CS301|CS310|CS320|CS420|CS430|ENG210|ENG310|MATH101|MATH310,None,software design,82.2,9.4,2.81,Software_Engineering
STU0027,2.53,66,CS101|CS210|CS220|CS310|CS320|CS340|CS420|CS430|CS450|ENG210|ENG301|ENG320|MATH310,None,testing,81.3,20.2,2.47,Software_Engineering
STU0028,2.97,104,CS102|CS201|CS210|CS220|CS310|CS320|CS420|CS430|CS440|MATH202,CS330,software design,88.5,14.3,3.18,Software_Engineering
STU0029,2.91,104,CS301|CS302|CS330|CS401|CS440|ENG201|ENG220|MATH201|MATH301|MATH320,CS420,data analysis,89.0,18.9,2.84,Data_Science
STU0030,3.26,74,CS301|CS302|CS310|CS401|CS440|ENG220|MATH201|MATH301|MATH302,None,robotics,85.2,20.3,3.73,AI
STU0031,3.29,75,CS102|CS201|CS210|CS220|CS301|CS310|CS320|CS350|CS420|CS430|ENG210|ENG301|MATH101,None,testing,98.9,17.1,3.26,Software_Engineering
STU0032,3.68,69,CS102|CS202|CS340|CS350|CS410|CS450|ENG210|ENG310|ENG320|MATH201,None,telecommunications,100.0,14.5,3.67,Networks
STU0033,3.41,106,CS301|CS302|CS340|CS350|CS401|CS410|CS440|ENG210|ENG220|ENG301|MATH201|MATH301,None,deep learning,88.8,25.4,3.62,AI
STU0034,3.48,111,CS210|CS310|CS340|CS350|CS360|CS420|CS440|CS450|ENG101|ENG102|ENG210|ENG310,None,virtualization,91.0,19.5,3.36,Cloud_Computing
STU0035,2.56,111,CS202|CS210|CS320|CS340|CS350|CS360|CS410|CS450|ENG101|ENG210|ENG220|ENG320|MATH102|MATH201|MATH202,None,routing,91.3,14.0,2.49,Networks
STU0036,3.31,134,CS102|CS202|CS220|CS301|CS310|CS330|CS340|CS401|CS410|CS450|ENG210|MATH102|MATH201|MATH301|MATH302,None,deep learning,94.2,17.9,3.42,AI
STU0037,3.16,61,CS102|CS202|CS210|CS220|CS302|CS310|CS320|CS401|CS420|CS430|CS440|ENG201|ENG210|MATH101|MATH102|MATH320,None,testing,74.3,19.6,3.34,Software_Engineering
STU0038,3.22,60,CS301|CS302|CS320|CS360|CS401|CS410|ENG102|MATH201|MATH202|MATH301|MATH302,None,computer vision,84.8,16.9,3.16,AI
STU0039,4.0,78,CS201|CS202|CS310|CS330|CS340|CS350|CS420|CS450|ENG220|ENG320|MATH202,None,IoT,99.6,11.0,3.44,Networks
STU0040,2.79,63,CS101|CS102|CS210|CS301|CS330|CS350|CS401|CS410|CS440|CS450|MATH102|MATH201|MATH202|MATH301|MATH320,None,big data,84.5,16.5,2.77,Data_Science
STU0041,2.83,130,CS202|CS210|CS220|CS310|CS320|CS420|CS430|ENG201|ENG210|ENG301|MATH102,MATH202|MATH320,agile,76.9,13.7,2.69,Software_Engineering
STU0042,2.86,111,CS101|CS330|CS401|CS440|ENG301|ENG320|MATH101|MATH201|MATH202|MATH301|MATH320,ENG220,visualization,84.9,9.1,2.81,Data_Science
STU0043,2.95,64,CS202|CS210|CS301|CS302|CS340|CS350|CS410|CS450|ENG201|ENG301|ENG310|MATH102|MATH202|MATH301,MATH201,routing,90.6,13.9,2.83,Networks
STU0044,2.85,116,CS301|CS302|CS330|CS340|CS401|CS440|CS450|MATH301|MATH320,CS102|ENG320,data analysis,78.2,19.8,3.19,Data_Science
STU0045,3.48,121,CS210|CS330|CS340|CS350|CS360|CS410|CS420|CS440|CS450|ENG102|ENG310|MATH102|MATH202,None,Azure,100.0,14.9,3.47,Cloud_Computing
STU0046,2.5,94,CS102|CS210|CS220|CS302|CS310|CS320|CS420|CS430|ENG101|ENG210,CS202|CS350,mobile apps,84.2,23.1,2.68,Software_Engineering
STU0047,3.49,78,CS101|CS202|CS310|CS340|CS350|CS430|CS440|CS450|ENG101|ENG320|MATH202|MATH301|MATH302|MATH310|MATH320,None,telecommunications,95.9,16.6,3.48,Networks
STU0048,2.65,96,CS202|CS302|CS320|CS340|CS350|CS410|CS450|ENG201|ENG220|ENG320|MATH202,CS310,IoT,80.9,28.2,2.29,Networks
STU0049,3.09,101,CS210|CS220|CS310|CS320|CS340|CS350|CS360|CS420|CS440|CS450|ENG102|ENG210|ENG310|ENG320|MATH101|MATH202,None,ethical hacking,97.3,17.6,2.71,Cybersecurity
STU0050,2.9,134,CS102|CS210|CS220|CS301|CS310|CS320|CS360|CS410|CS420|CS430|ENG101|ENG102|ENG210|ENG320|MATH201,ENG301,testing,98.7,11.8,2.99,Software_Engineering
STU0051,3.29,94,CS202|CS210|CS340|CS350|CS360|CS450|ENG101|ENG102|ENG220|ENG310|ENG320|MATH202|MATH301,None,ethical hacking,86.5,13.0,3.32,Cybersecurity
STU0052,3.19,137,CS301|CS340|CS350|CS360|CS430|CS450|ENG310|ENG320|MATH202|MATH302,CS102,forensics,67.3,15.8,3.22,Cybersecurity
STU0053,3.84,106,CS201|CS301|CS330|CS340|CS360|CS401|CS420|CS440|ENG101|ENG220|ENG301|MATH101|MATH201|MATH202|MATH301|MATH320,None,ML,86.9,21.9,3.36,Data_Science
STU0054,3.51,119,CS201|CS210|CS220|CS310|CS320|CS340|CS420|CS430|ENG201|ENG210|ENG310|MATH201|MATH301,None,software design,93.7,17.0,3.38,Software_Engineering
STU0055,3.62,84,CS201|CS301|CS320|CS340|CS350|CS360|CS401|CS410|CS450|ENG310|ENG320|MATH202|MATH310,None,ethical hacking,92.5,17.9,4.0,Cybersecurity
STU0056,2.4,77,CS201|CS210|CS220|CS301|CS320|CS340|CS350|CS401|CS420|CS450|ENG201|ENG210,CS430|MATH201,virtualization,89.6,26.3,2.34,Cloud_Computing
STU0057,2.27,77,CS301|CS340|CS350|CS360|CS401|CS420|CS430|CS440|ENG310|ENG320|MATH202|MATH302,CS102,cryptography,95.1,19.5,2.42,Cybersecurity
STU0058,1.74,112,CS101|CS102|CS330|CS340|CS350|CS360|CS410|CS420|CS450|ENG201|ENG310|ENG320|MATH202|MATH301|MATH320,CS220,security,97.5,15.9,1.53,Cybersecurity
STU0059,2.2,125,CS202|CS210|CS301|CS310|CS330|CS340|CS350|CS401|CS420|CS440|ENG201|ENG220|MATH201|MATH301|MATH310|MATH320,CS302|CS410|ENG210,statistics,86.6,20.3,2.49,Data_Science
STU0060,3.73,66,CS201|CS202|CS210|CS302|CS330|CS340|CS350|CS410|CS420|CS450|ENG210|ENG310,None,cloud,96.2,11.3,3.8,Cloud_Computing
STU0061,2.94,94,CS202|CS301|CS330|CS350|CS401|CS410|CS440|ENG310|MATH101|MATH201|MATH301|MATH320,CS210,ML,78.4,22.1,3.08,Data_Science
STU0062,2.77,84,CS210|CS301|CS340|CS350|CS420|CS430|CS440|CS450|ENG210|ENG310|MATH302,CS102,AWS,83.6,12.9,3.04,Cloud_Computing
STU0063,2.9,95,CS210|CS220|CS301|CS310|CS320|CS340|CS360|CS410|CS420|CS430|ENG101|ENG210|ENG301|MATH102|MATH201|MATH302,CS102|ENG102,DevOps,100.0,15.9,3.49,Software_Engineering
STU0064,3.49,135,CS202|CS301|CS302|CS320|CS330|CS340|CS440|ENG201|ENG210|MATH201|MATH202|MATH301|MATH320,None,business intelligence,87.2,20.7,3.94,Data_Science
STU0065,3.58,98,CS102|CS202|CS210|CS220|CS340|CS350|CS450|ENG220|ENG310|ENG320|MATH102|MATH202,None,telecommunications,89.9,24.0,3.48,Networks
STU0066,2.26,62,CS201|CS210|CS301|CS340|CS350|CS401|CS420|CS450|ENG102|ENG210|ENG301|ENG310|MATH201|MATH202|MATH310|MATH320,CS101,cloud,91.2,19.7,2.43,Cloud_Computing
STU0067,3.12,82,CS102|CS201|CS202|CS320|CS340|CS350|CS450|ENG101|ENG102|ENG310|ENG320|MATH202,None,routing,74.2,21.8,3.24,Networks
STU0068,4.0,75,CS102|CS301|CS302|CS310|CS320|CS330|CS401|CS410|ENG102|ENG210|MATH301|MATH302|MATH310,None,machine learning,78.2,19.0,4.0,AI
STU0069,4.0,130,CS202|CS210|CS302|CS320|CS340|CS350|CS450|ENG102|ENG301|ENG310|ENG320|MATH101|MATH202|MATH302|MATH310,None,IoT,93.5,26.1,4.0,Networks
STU0070,3.09,71,CS101|CS202|CS302|CS401|CS410|ENG210|MATH201|MATH202|MATH301|MATH302,None,NLP,83.0,12.1,2.63,AI
STU0071,3.31,76,CS101|CS210|CS310|CS320|CS420|CS430|ENG201|ENG210|ENG310|MATH101|MATH201|MATH302,None,testing,85.2,18.6,3.14,Software_Engineering
STU0072,3.46,100,CS201|CS210|CS220|CS310|CS330|CS340|CS350|CS360|CS401|CS420|CS450|ENG310|MATH201|MATH202,None,firewalls,75.2,7.6,3.8,Cybersecurity
STU0073,3.52,139,CS201|CS202|CS210|CS340|CS350|CS420|CS440|CS450|ENG210,None,microservices,97.6,22.4,3.82,Cloud_Computing
STU0074,2.85,115,CS101|CS210|CS301|CS330|CS340|CS350|CS360|ENG310|ENG320|MATH101|MATH201|MATH202,CS410,security,80.6,16.8,2.73,Cybersecurity
STU0075,3.51,111,CS301|CS302|CS401|CS410|CS420|CS430|ENG201|ENG210|ENG301|ENG320|MATH201|MATH302|MATH320,None,robotics,91.3,18.1,3.42,AI
STU0076,2.49,122,CS102|CS202|CS210|CS220|CS310|CS320|CS330|CS350|CS360|CS401|CS410|CS420|CS430|ENG201|ENG210,ENG310|ENG320,testing,91.5,14.4,2.43,Software_Engineering
STU0077,2.97,91,CS101|CS210|CS220|CS301|CS302|CS310|CS320|CS360|CS410|CS420|CS430|ENG102|ENG201|ENG210|MATH201|MATH302,None,web development,82.1,14.5,3.05,Software_Engineering
STU0078,3.34,94,CS201|CS210|CS220|CS310|CS320|CS420|CS430|ENG102|ENG201|ENG210|MATH102|MATH320,None,DevOps,88.0,18.4,3.25,Software_Engineering
STU0079,2.65,101,CS201|CS220|CS320|CS340|CS350|CS360|CS450|ENG310|ENG320|MATH202|MATH310,CS101,ethical hacking,76.9,16.6,2.89,Cybersecurity
STU0080,3.46,81,CS101|CS201|CS202|CS302|CS310|CS340|CS350|CS420|CS440|CS450|ENG101|ENG310|ENG320|MATH101|MATH202,None,routing,73.6,13.2,3.33,Networks
STU0081,3.34,78,CS202|CS301|CS340|CS350|CS360|CS420|CS430|CS450|ENG301|ENG310|ENG320|MATH202|MATH302,None,penetration testing,100.0,19.9,3.6,Cybersecurity
STU0082,2.81,137,CS102|CS202|CS310|CS320|CS330|CS340|CS430|CS450|ENG301|ENG310|ENG320|MATH101|MATH202|MATH301,CS301|MATH320,networking,85.0,15.6,3.0,Networks
STU0083,3.08,60,CS301|CS330|CS350|CS401|CS410|CS440|ENG210|MATH102|MATH201|MATH202|MATH301|MATH320,None,visualization,71.5,21.3,2.83,Data_Science
STU0084,2.32,65,CS102|CS210|CS340|CS350|CS410|CS420|CS450|ENG210|ENG310|MATH101|MATH201|MATH320,CS220|ENG320,microservices,86.8,25.0,2.17,Cloud_Computing
STU0085,4.0,100,CS210|CS220|CS301|CS330|CS401|CS440|ENG102|ENG301|MATH102|MATH201|MATH202|MATH301|MATH320,None,ML,84.2,20.2,3.49,Data_Science
STU0086,3.09,71,CS202|CS210|CS310|CS320|CS340|CS350|CS410|CS420|CS430|CS450|ENG102|ENG210|ENG310|MATH101|MATH102|MATH202,None,containers,100.0,20.2,2.96,Cloud_Computing
STU0087,3.29,136,CS301|CS330|CS340|CS350|CS440|ENG101|ENG320|MATH102|MATH201|MATH301|MATH320,None,ML,79.4,18.6,3.39,Data_Science
STU0088,2.72,133,CS102|CS202|CS210|CS301|CS330|CS340|CS401|CS430|CS440|CS450|ENG220|MATH101|MATH102|MATH301|MATH320,None,visualization,90.1,21.8,2.49,Data_Science
STU0089,3.53,77,CS101|CS102|CS201|CS202|CS340|CS350|CS360|CS450|ENG310|ENG320|MATH101,None,penetration testing,91.3,22.8,3.54,Cybersecurity
STU0090,2.67,75,CS201|CS210|CS220|CS310|CS320|CS420|CS430|ENG210|MATH201|MATH320,CS330|CS410,testing,84.8,12.6,2.6,Software_Engineering
STU0091,2.29,132,CS101|CS201|CS202|CS210|CS220|CS302|CS310|CS320|CS340|CS401|CS420|CS430|ENG102|ENG201|ENG210|MATH102,CS360|CS440|ENG320,software design,74.4,18.9,2.31,Software_Engineering
STU0092,3.42,77,CS210|CS320|CS340|CS350|CS360|CS450|ENG210|ENG310|MATH102|MATH202|MATH320,CS102,cryptography,82.6,14.1,3.33,Cybersecurity
STU0093,3.39,95,CS201|CS202|CS301|CS330|CS340|CS401|CS440|ENG102|ENG201|ENG301|MATH201|MATH202|MATH301,None,ML,86.9,21.5,3.96,Data_Science
STU0094,3.27,124,CS201|CS350|CS360|CS430|CS450|ENG101|ENG102|ENG301|ENG310|ENG320|MATH202,None,ethical hacking,82.1,14.1,3.12,Cybersecurity
STU0095,2.9,134,CS301|CS320|CS330|CS401|CS440|ENG101|ENG310|MATH201|MATH301|MATH320,ENG210,ML,65.0,19.0,3.16,Data_Science
STU0096,4.0,65,CS302|CS320|CS350|CS401|CS410|ENG201|ENG320|MATH201|MATH202|MATH301|MATH302,ENG101,robotics,85.6,24.5,3.78,AI
STU0097,3.91,84,CS201|CS220|CS301|CS302|CS410|CS440|MATH201|MATH301|MATH302,None,deep learning,92.4,7.0,3.87,AI
STU0098,2.9,115,CS102|CS201|CS202|CS220|CS320|CS340|CS350|CS430|ENG310|ENG320|MATH202|MATH301,None,telecommunications,67.5,9.7,2.58,Networks
STU0099,4.0,137,CS101|CS102|CS310|CS340|CS350|CS360|CS450|ENG201|ENG210|ENG301|ENG310|ENG320|MATH202|MATH320,None,forensics,89.3,20.7,3.83,Cybersecurity
STU0100,3.24,65,CS101|CS201|CS202|CS302|CS340|CS350|CS450|ENG102|ENG301|ENG310|ENG320|MATH102|MATH202,None,telecommunications,86.2,16.6,3.56,Networks
STU0101,3.21,111,CS210|CS220|CS310|CS320|CS420|CS430|CS450|ENG210|ENG220|MATH301,ENG102,testing,70.9,9.9,3.27,Software_Engineering
STU0102,2.72,135,CS101|CS201|CS210|CS220|CS302|CS310|CS320|CS420|CS430|CS450|ENG101|ENG201|ENG210|ENG220|MATH302,None,agile,85.4,2.2,2.75,Software_Engineering
STU0103,3.26,136,CS102|CS301|CS401|CS440|CS450|ENG102|ENG210|ENG220|ENG301|ENG310|ENG320|MATH201|MATH301|MATH320,None,ML,86.6,19.1,3.47,Data_Science
STU0104,4.0,81,CS210|CS301|CS302|CS310|CS340|CS401|CS410|CS430|MATH201|MATH301|MATH302,None,deep learning,100.0,15.6,3.81,AI
STU0105,3.19,100,CS330|CS340|CS350|CS360|CS401|CS430|CS440|CS450|ENG310|ENG320|MATH320,None,firewalls,83.0,27.1,3.14,Cybersecurity
STU0106,3.62,125,CS210|CS220|CS320|CS410|CS420|CS430|ENG210|ENG220|MATH302,None,agile,91.5,16.5,3.56,Software_Engineering
STU0107,3.84,108,CS101|CS301|CS340|CS401|CS410|CS430|CS440|CS450|ENG101|ENG201|MATH201|MATH301|MATH302|MATH320,None,ML,100.0,14.4,3.53,Data_Science
STU0108,2.34,62,CS101|CS340|CS350|CS360|CS401|CS420|CS450|ENG102|ENG301|ENG310|ENG320|MATH202|MATH301|MATH302,CS430|MATH102|MATH201,ethical hacking,77.5,11.2,2.55,Cybersecurity
STU0109,4.0,98,CS220|CS310|CS320|CS350|CS420|CS430|CS450|ENG210|MATH201|MATH310,None,mobile apps,86.0,20.0,3.64,Software_Engineering
STU0110,3.45,87,CS101|CS202|CS301|CS310|CS330|CS350|CS360|CS401|CS440|CS450|ENG101|ENG102|MATH101|MATH201|MATH301|MATH320,None,data analysis,76.1,24.0,3.51,Data_Science
STU0111,3.74,69,CS301|CS330|CS350|CS401|CS440|ENG201|MATH101|MATH201|MATH301|MATH320,None,business intelligence,89.4,17.3,3.85,Data_Science
STU0112,3.4,73,CS201|CS220|CS302|CS401|CS410|CS420|CS450|ENG210|ENG301|MATH201|MATH301|MATH302|MATH310,None,neural networks,79.1,15.7,3.32,AI
STU0113,2.86,118,CS101|CS210|CS301|CS310|CS340|CS401|CS420|CS440|CS450|ENG102|ENG210|ENG220|ENG310|MATH101|MATH102,None,microservices,78.6,21.7,2.61,Cloud_Computing
STU0114,3.07,119,CS210|CS220|CS302|CS320|CS340|CS360|CS401|CS420|CS430|ENG102|ENG210|MATH201|MATH310|MATH320,None,web development,72.6,22.0,2.96,Software_Engineering
STU0115,3.12,111,CS210|CS220|CS302|CS330|CS340|CS350|CS360|CS440|ENG201|ENG210|ENG310|ENG320|MATH101|MATH202|MATH301,None,penetration testing,77.5,16.5,3.14,Cybersecurity
STU0116,2.83,89,CS102|CS202|CS210|CS301|CS340|CS350|CS410|CS420|CS450|ENG210|ENG301|ENG310|ENG320|MATH101,None,microservices,78.3,11.5,2.67,Cloud_Computing
STU0117,3.22,73,CS202|CS210|CS220|CS301|CS310|CS320|CS410|CS420|CS430|CS450|ENG210,None,mobile apps,91.2,22.8,3.33,Software_Engineering
STU0118,3.84,107,CS210|CS220|CS320|CS340|CS350|CS360|CS420|CS430|ENG201|ENG210|ENG220|ENG301|ENG310|MATH202|MATH301,None,cloud,97.9,22.9,3.73,Cloud_Computing
STU0119,3.5,84,CS220|CS301|CS302|CS350|CS410|CS430|ENG102|ENG201|ENG220|MATH101|MATH201|MATH202|MATH301|MATH302,None,machine learning,94.6,18.1,3.64,AI
STU0120,4.0,112,CS210|CS220|CS310|CS320|CS350|CS430|ENG210|ENG310|MATH102,None,agile,98.6,18.7,3.65,Software_Engineering
STU0121,3.32,91,CS101|CS102|CS220|CS301|CS302|CS360|CS401|CS410|CS440|ENG310|MATH201|MATH301|MATH302,None,computer vision,87.4,17.6,3.74,AI
STU0122,2.86,63,CS210|CS220|CS301|CS310|CS320|CS350|CS360|CS420|CS430|ENG210|ENG310|ENG320|MATH101|MATH102,None,agile,71.5,5.1,2.82,Software_Engineering
STU0123,2.82,131,CS101|CS201|CS301|CS302|CS350|CS401|CS410|CS420|CS450|ENG301|MATH102|MATH201|MATH301|MATH302|MATH320,CS210,robotics,84.9,22.7,3.04,AI
STU0124,3.2,113,CS210|CS220|CS310|CS320|CS330|CS420|CS430|CS450|ENG102|ENG201|ENG210,None,web development,97.3,23.4,3.26,Software_Engineering
STU0125,2.75,68,CS102|CS202|CS301|CS302|CS330|CS401|ENG101|ENG210|ENG301|ENG320|MATH201|MATH301|MATH320,CS340,data analysis,93.9,9.9,2.62,Data_Science
STU0126,3.26,87,CS101|CS102|CS202|CS220|CS301|CS330|CS340|CS401|CS440|ENG301|ENG320|MATH102|MATH201|MATH301|MATH302|MATH320,None,big data,69.0,17.3,3.17,Data_Science
STU0127,3.01,107,CS101|CS210|CS220|CS310|CS320|CS420|CS430|CS450|ENG101|ENG210|MATH101|MATH310,None,mobile apps,77.5,22.0,2.89,Software_Engineering
STU0128,2.54,108,CS210|CS340|CS350|CS420|CS450|ENG102|ENG210|ENG310|MATH101|MATH201,CS440|MATH310,AWS,77.1,16.8,2.74,Cloud_Computing
STU0129,4.0,127,CS101|CS202|CS210|CS220|CS310|CS320|CS430|ENG101|ENG210|ENG310|MATH101|MATH102|MATH202,CS410,web development,92.6,21.1,3.93,Software_Engineering
STU0130,3.35,64,CS102|CS210|CS220|CS301|CS302|CS310|CS320|CS350|CS360|CS420|CS430|ENG102|ENG210|ENG310,None,software design,72.3,12.9,3.37,Software_Engineering
STU0131,3.29,82,CS210|CS301|CS330|CS340|CS360|CS410|CS450|ENG210|ENG301|ENG310|ENG320|MATH202|MATH302|MATH320,None,cryptography,87.4,7.8,3.01,Cybersecurity
STU0132,2.44,97,CS201|CS210|CS220|CS310|CS320|CS350|CS420|CS430|ENG210|MATH102,CS202|ENG201,web development,80.0,11.6,2.72,Software_Engineering
STU0133,3.53,112,CS102|CS202|CS301|CS310|CS330|CS401|ENG201|ENG220|ENG301|ENG310|MATH201|MATH301|MATH302|MATH320,None,data analysis,94.3,15.1,3.6,Data_Science
STU0134,2.99,93,CS101|CS202|CS350|CS360|CS410|CS450|ENG210|ENG310|ENG320|MATH101|MATH102|MATH202,None,routing,80.8,13.2,2.92,Networks
STU0135,3.23,120,CS301|CS302|CS320|CS401|CS410|CS440|ENG201|ENG220|MATH201|MATH202|MATH301,None,computer vision,81.7,16.2,2.97,AI
STU0136,3.88,76,CS101|CS301|CS330|CS401|CS440|ENG102|ENG220|ENG310|MATH301|MATH310|MATH320,None,business intelligence,87.0,14.1,3.53,Data_Science
STU0137,3.25,126,CS101|CS102|CS210|CS220|CS310|CS320|CS360|CS420|CS430|CS440|ENG101|ENG210,None,software design,81.5,14.7,3.4,Software_Engineering
STU0138,3.66,108,CS102|CS201|CS210|CS301|CS330|CS350|CS401|CS440|ENG101|ENG210|ENG220|MATH201|MATH302|MATH320,None,data analysis,68.7,20.5,3.79,Data_Science
STU0139,3.85,135,CS210|CS301|CS330|CS340|CS350|CS360|CS401|CS420|CS430|CS440|ENG101|ENG201|MATH102|MATH201|MATH301|MATH320,None,statistics,85.4,23.0,3.83,Data_Science
STU0140,3.22,103,CS210|CS220|CS302|CS310|CS320|CS401|CS410|CS420|CS430|ENG210|MATH101|MATH320,None,software design,91.9,16.8,3.18,Software_Engineering
STU0141,3.65,127,CS201|CS202|CS220|CS310|CS320|CS420|CS430|CS450|ENG101|ENG201|ENG210|ENG220|MATH101,None,testing,90.4,28.2,3.42,Software_Engineering
STU0142,2.36,72,CS210|CS220|CS301|CS340|CS350|CS440|CS450|ENG102|ENG210|ENG301|ENG310,None,virtualization,82.0,22.7,2.29,Cloud_Computing
STU0143,2.57,107,CS210|CS220|CS340|CS350|CS360|CS401|CS450|ENG101|ENG210|ENG220|ENG310|MATH102|MATH202,CS410,security,83.3,11.7,2.78,Cybersecurity
STU0144,3.04,106,CS102|CS201|CS202|CS210|CS302|CS310|CS340|CS350|CS450|ENG102|ENG201|ENG210|ENG220|ENG310|ENG320|MATH202,None,protocols,60.9,18.1,3.14,Networks
STU0145,3.25,124,CS101|CS102|CS210|CS220|CS301|CS310|CS320|CS420|CS430|ENG102|ENG210|ENG301|MATH302,None,testing,81.8,6.5,3.18,Software_Engineering
STU0146,2.71,61,CS202|CS210|CS301|CS330|CS340|CS350|CS401|CS420|CS450|ENG210|ENG220|ENG301|ENG310|MATH302|MATH310|MATH320,None,AWS,85.4,18.1,2.52,Cloud_Computing
STU0147,3.29,138,CS202|CS302|CS310|CS320|CS330|CS340|CS350|CS410|CS430|CS450|ENG102|ENG201|ENG320|MATH101|MATH202,None,IoT,73.5,5.5,3.35,Networks
STU0148,3.27,136,CS210|CS301|CS320|CS330|CS340|CS420|CS430|CS450|ENG210|ENG310|MATH310,ENG320,AWS,73.7,21.7,3.17,Cloud_Computing
STU0149,3.2,91,CS210|CS220|CS310|CS320|CS401|CS420|CS430|ENG210|ENG220|MATH101,None,mobile apps,69.6,28.0,3.28,Software_Engineering
